Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
VERTICAL KNITS S.A. DE C.V. (MDC - TIZIMIN),FINISHED GOODS,APPAREL,NIKE,VERTICAL KNITS,TIZIMIN,YUCATÁN,97702,Mexico,AMERICAS,643,528,45.00%,0.20%
"VIET HONG GARMENT EXPORT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,BEN TRE,BN TRE,150513490,Vietnam,SE ASIA,1984,1687,70.00%,0.00%
VIET KHANH COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,TIEN GIANG,TIN GIANG,860000,Vietnam,SE ASIA,1493,1493,68.00%,0.00%
VIET LONG HUNG GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,GO CONG TOWN,TIN GIANG,860000,Vietnam,SE ASIA,1801,1540,78.00%,0.00%
"VIET NAM DONA GOLD LONG JOHN INTL CO., LTD.",MATERIALS,MATERIALS,NIKE,GOLD LONG JOHN,NHON TRACH DISTRICT,DONG NAI PROVINCE,61,Vietnam,SE ASIA,,,0.00%,0.00%
"VIET PAN - PACIFIC NAM DINH CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NAM DINH ,NAM ÐNH,7000,Vietnam,SE ASIA,1774,1702,94.00%,0.50%
VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH,THANH HÓA,84,Vietnam,SE ASIA,2614,2202,73.00%,0.00%
VIET TIEN GARMENT CORPORATION,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH,HO CHI MINH,7000,Vietnam,SE ASIA,2642,2526,71.00%,0.00%
VIETNAM CHINGLUH SHOES CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,BEN LUC COUNTY,LONG AN,700000,Vietnam,SE ASIA,17371,17371,78.00%,22.20%
VIETNAM MOC BAI JOINT STOCK COMPANY,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,TAY NINH,TÂY NINH,80000,Vietnam,SE ASIA,11480,11305,77.00%,0.00%
VIETNAM POU SUNG CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,TRANG BOM,ÐNG NAI,76318,Vietnam,SE ASIA,18728,14775,84.00%,0.00%
VINH LONG FOOTWEAR CO LTD,FINISHED GOODS,FOOTWEAR,Converse,LAI YIH,VINH LONG PROVINCE,VINH LONG,89000,Vietnam,SE ASIA,10098,8218,78.00%,0.00%
VINH TIEN GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,VINH LONG,VINH LONG,84-070,Vietnam,SE ASIA,2104,1912,75.00%,0.00%
"VUNG TAU ORIENT CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,FENG TAY,VUNG TAU,BÀ RA - VUNG TÀU,78000,Vietnam,SE ASIA,1599,1437,73.00%,0.00%
W.S. CALCADOS LTDA.,FINISHED GOODS,FOOTWEAR,Converse,NO GROUP (FW),NOVA PETROPOLIS,RIO GRANDE DO SUL,95150-000,Brazil,AMERICAS,91,90,1.00%,1.10%
"WALT TECHNOLOGY ( CAMBODIA) CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,ZHEJIANG WALT,SIHANOUK VILLE,KRONG PREAH SIHANO,18205,Cambodia,SE ASIA,125,80,30.00%,5.00%
"WALT TECHNOLOGY GROUP CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,ZHEJIANG WALT,HAINING,ZHEJIANG,314400,China,N ASIA,758,341,75.00%,0.00%
WALT USA LLC,FINISHED GOODS,EQUIPMENT,NIKE,ZHEJIANG WALT,N LOGAN,UTAH,84341,United States of America,AMERICAS,29,17,65.00%,0.00%
WAN WAY,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAINAN,,70966,Taiwan,N ASIA,11,6,45.00%,0.00%
WELLPOWER SPORTING GOODS CO LTD,FINISHED GOODS,EQUIPMENT,NIKE,WELLPOWER,DONGGUAN,GUANGDONG,523425,China,N ASIA,1074,884,78.00%,0.00%
WINNING SPORTSWEAR CO. LTD.,FINISHED GOODS,APPAREL,NIKE,TIEN POU,TINH BINH DUONG,BÌNH DUONG,824300,Vietnam,SE ASIA,2710,1850,55.00%,0.00%
"WONJINKOLON GLOTECH CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),TAM AN VILLAGE,ÐNG NAI,810000,Vietnam,SE ASIA,148,95,40.00%,3.20%
"WORLDON VIETNAM CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NINGBO,HO CHI MINH,HO CHI MINH,70000,Vietnam,SE ASIA,11796,11154,92.00%,0.00%
"XIAMEN EXPANDING INDUSTRIAL CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),XIAMEN,FUJIAN,361000,China,N ASIA,76,74,66.00%,0.00%
"XINCHANG SHOES CO.,LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DEAN SHOES,XINNING,GUANGDONG,510000,China,N ASIA,4661,4305,86.00%,0.00%
YANCHENG XINBO GARMENTS CO LTD,FINISHED GOODS,APPAREL,Converse,DÉCOR,YANCHENG,JIANGSU,224007,China,N ASIA,184,172,82.00%,0.00%
"YANGZHOU BAOYI SHOES MANUFACTURING CO.,LTD.",FINISHED GOODS,FOOTWEAR,Converse,LAI YIH,YANG ZHOU,JIANGSU,225009,China,N ASIA,2508,2091,82.00%,0.00%
"YEGIN INDUSTRY (VIETNAM) CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,YEGIN,TAN PHUOC DISTRICT,TIN GIANG,863900,Vietnam,SE ASIA,1084,910,81.00%,0.70%
YESIM TEKSTIL SANAYI VE TICARET  A.S.,MATERIALS,MATERIALS,NIKE,YESIM,BURSA,BURSA,16580,Turkey,EMEA,,,0.00%,0.00%
YESTERWEAR,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),LUMBERTON,NEW JERSEY,8048,United States of America,AMERICAS,72,60,60.00%,0.00%
YICHANE CO.LTD,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAINAN,TAINAN,709,Taiwan,N ASIA,30,12,86.00%,0.00%
"YICHUN YISEN INDUSTRY CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,POU CHEN,YICHUN CITY,,336000,China,N ASIA,3211,2795,97.00%,3.50%
YIECHANG,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),FENG YUAN,TAICHUNG,42084,Taiwan,N ASIA,33,25,52.00%,40.00%
"YONGZHOU KAIXIANG SHOETOWN FOOTWEAR CO., LTD. NOT A FINISHED GOODS FACILITY",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,SHOETOWN,YONGZHOU,HUNAN,425900,China,N ASIA,1368,1116,90.00%,0.00%
"YONGZHOU KAIXIN SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,YONG ZHOU,HUNAN,425300,China,N ASIA,725,609,92.00%,0.00%
YOU YOUNG,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),BUSAN,BUSAN GWANGYEOGSI,49432,South Korea,N ASIA,168,28,18.00%,0.00%
YOU YOUNG (KOREA),MATERIALS,MATERIALS,"NIKE, Converse",YOU YOUNG ,BUSAN,,,South Korea,N ASIA,,,0.00%,0.00%
YOU YOUNG (VIETNAM),MATERIALS,MATERIALS,NIKE,YOU YOUNG ,BEN CAT,BINH DUONG,0,Vietnam,SE ASIA,,,0.00%,0.00%
"YOUNG POONG TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,JOONGANG,BUSAN,SOUTH GYEONGSANG,604-838,South Korea,N ASIA,,,0.00%,0.00%
YOUNGIL (VIETNAM),FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,YOUNGIL LEATHER,TAY NINH,TÂY NINH,,Vietnam,SE ASIA,1,1,1.00%,100.00%
"YRC TEXTILE CO.,LTD.",MATERIALS,MATERIALS,NIKE,YRC,KRATOOMBAN,SAMUTSAKORN,74130,Thailand,SE ASIA,,,0.00%,0.00%
"YUAN LING KNITTING INDUSTRIAL CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (AP),CHANGHUA CITY,CHANGHUA,50083,Taiwan,N ASIA,308,116,47.00%,56.00%
"YUMEI SHANTOU GARMENTS CO., LTD",FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,SHANTOU,GUANGDONG,515041,China,N ASIA,2415,1716,79.00%,0.00%
"ZAO ZHUANG RUIXING SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,CHANGSHIN,ZAOZHUANG CITY,SHANDONG,250011,China,N ASIA,1617,1530,96.00%,0.00%
"ZHANGJIAGANG NEW HUAYUAN ACCESSONES CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ZHANGJIAGANG,JIANGSU,215600,China,N ASIA,91,83,85.00%,0.00%
"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,ALPUS,ZHANGJIAJIE,HUNAN,427200,China,N ASIA,279,212,97.00%,0.00%
"ZHEJIANG CLIS FASHION CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HANGZHOU,ZHEJIANG,310012,China,N ASIA,41,21,74.00%,0.00%
ZHEJIANG GUANGTAI DELTA SOCKS CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,DELTA,"CAOTA TOWN, ZHUJI",ZHEJIANG,311812,China,N ASIA,302,243,56.00%,0.00%
"ZHEJIANG QIAOER TINGTING GARMENT CO., LTD",FINISHED GOODS,APPAREL,NIKE,DELTA,SHANGYU CITY,ZHEJIANG,312300,China,N ASIA,1195,966,77.00%,0.00%
ZHENJIANG TUNTEX GARMENT CO LTD.,FINISHED GOODS,APPAREL,NIKE,TUNTEX,ZHENJIANG,JIANGSU,212400,China,N ASIA,493,362,95.00%,0.00%
ZHONGSHAN CITY BANFU TOWN GANG YI KNITTING FACTORY,FINISHED GOODS,EQUIPMENT,Converse,ZHONGSHAN,ZHONG SHAN CITY,GUANGDONG,528459,China,N ASIA,118,84,83.00%,0.00%
"ZHONGSHAN ZHIJIE FOOTWEAR TECHNICAL SERVICE  CO.,LTD",FINISHED GOODS,FOOTWEAR,Converse,HUALI,ZHONGSHAN,GUANGDONG,528451,China,N ASIA,494,222,75.00%,0.00%
"ZHUJI HENGTAI KNITTING & TEXTILE CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,DELTA,ZHUJI,ZHEJIANG,311812,China,N ASIA,305,272,59.00%,0.00%
