Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
HA NOI GARMENT NO. 40 JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,MAXPORT,HA NOI CITY,HA NOI,80000,Vietnam,SE ASIA,316,85,84.00%,0.00%
"HAIYAN GOLDEN GATE SOCKS INDUSTRY CO., LTD",FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),HAIYAN,ZHEJIANG,314300,China,N ASIA,91,72,78.00%,0.00%
HAPCO SCREEN PRINTING,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),"EMMAUS,",PENNSYLVANIA,18049,United States of America,AMERICAS,27,21,58.00%,0.00%
HAYAFUJI,FINISHED GOODS,FOOTWEAR,NIKE,HAYAFUJI,KYOTO-SHI,KYOTO,603-8487,Japan,N ASIA,5,4,40.00%,0.00%
"HB SPORTS - NEW HOLLAND LINGERIE DE HONDURAS, S.A.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,TEGRA,SAN PEDRO SULA,CORTÉS,CA,Honduras,AMERICAS,1594,1064,60.00%,0.60%
HESHAN TOP EAGLE GARMENT LTD,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,HESHAN,GUANGDONG,529727,China,N ASIA,780,395,80.00%,24.60%
"HI TECH APPAREL CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,HI TECH,POIPET CITY,BANTEAY MEAN CHEY,0,Cambodia,SE ASIA,4224,3894,57.00%,0.90%
"HI TECH APPAREL CO LTD, BRANCH 70",FINISHED GOODS,APPAREL,NIKE,HI TECH,BANGKRU,,10130,Thailand,SE ASIA,1165,1111,62.00%,74.50%
HI TECH APPAREL SURIN BRANCH,FINISHED GOODS,APPAREL,NIKE,HI TECH,THATOOM,,32120,Thailand,SE ASIA,799,576,72.00%,20.00%
HIGUCHI KABAN KOBO,FINISHED GOODS,EQUIPMENT,NIKE,CROSTER,SAITAMA,SAITAMA,332-0011,Japan,N ASIA,26,24,66.00%,4.20%
HIT SUPHANBURI,FINISHED GOODS,APPAREL,NIKE,HI TECH,SUPHANBURI,SUPHAN BURI,72000,Thailand,SE ASIA,525,350,65.00%,0.00%
HI-TECH APPAREL CO. LTD.SOI91,FINISHED GOODS,APPAREL,NIKE,HI TECH,BANGKOK,CHON BURI,10140,Thailand,SE ASIA,1165,674,76.00%,43.50%
"HI-TECH CHAIYAPHUM APPAREL 2011 CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,HI TECH,MUANG,CHAIYAPHUM,36000,Thailand,SE ASIA,1245,892,67.00%,29.10%
"HI-TECH CHAIYAPHUM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,HI TECH,MUANG,CHAIYAPHUM,36000,Thailand,SE ASIA,617,556,70.00%,46.80%
"HI-TECH VIET NAM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,HI TECH,DUY XUYEN DISTRICT,QUNG NAM,560000,Vietnam,SE ASIA,1458,1306,84.00%,0.00%
HONG SENG KNITTING COMPANY LIMITED.,FINISHED GOODS,APPAREL,NIKE,HONG SENG,RATHJABURANA,CHON BURI,10140,Thailand,SE ASIA,2234,2079,55.00%,79.00%
HONG SENG THAI-VINA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,HONG SENG,DUC HOA DISTRICT,LONG AN,850000,Vietnam,SE ASIA,807,556,80.00%,1.80%
"HONG SHENG LEATHER DONGGUAN IND. CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,GUANG DER,DONG GUAN,GUANGDONG,523121,China,N ASIA,476,331,69.00%,0.00%
HONSIN APPAREL SDN. BHD.,FINISHED GOODS,APPAREL,NIKE,HONSIN,BATU PAHAT,JOHOR,83000,Malaysia,S ASIA,1054,809,38.00%,110.00%
HONWAYS APPAREL SHUYANG LIMITED,FINISHED GOODS,APPAREL,NIKE,HONSIN,JIANGSU PROVINCE,JIANGSU,223600,China,N ASIA,1243,765,86.00%,0.00%
"HOOSIER MANUFACTURING, COMPANIA LIMITADA",FINISHED GOODS,APPAREL,NIKE,INDIANA KNITWEAR,GUATEMALA,GUATEMALA,1012,Guatemala,AMERICAS,392,375,56.00%,0.00%
HUA FENG (CHINA),FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,HUA FENG TEXTILE,PUTIAN,FUJIAN,0,China,N ASIA,0,0,0.00%,0.00%
HUAFENG HAPTIC,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,HUA FENG TEXTILE,PUTIAN,FUJIAN,351164,China,N ASIA,92,74,55.00%,0.00%
HUAIAN YUANGTONG HEADWEAR MFG CO LTD,FINISHED GOODS,APPAREL,NIKE,ASIAN SOURCING HEADWEAR,HUAI AN,JIANGSU,223400,China,N ASIA,786,658,80.00%,0.00%
HUBEI TOP EAGLE GARMENT LTD.,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,SONGZI HUBEI,HUBEI,434200,China,N ASIA,731,405,94.00%,0.50%
"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),HUIZHOU,GUANGDONG,516001,China,N ASIA,78,48,1.00%,2.10%
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HUNG YEN,HUNG YÊN,70000,Vietnam,SE ASIA,2570,2370,70.00%,0.00%
IDEA STAMPA S.R.L. UNIPERSONALE,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MEOLO,VENEZIA,30020,Italy,EMEA,29,19,73.00%,0.00%
IMPRESSIONS CASEE INC.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MONTREAL,QUEBEC,H2N 2B7,Canada,AMERICAS,4,3,25.00%,0.00%
INJEXTECH INC.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAINAN,,71755,Taiwan,N ASIA,178,169,44.00%,23.70%
INOVA TEXTILES S.A. DE C.V.,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),JILOTEPEC,MÉXICO,54240,Mexico,AMERICAS,366,351,65.00%,0.00%
INTERLOOP LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,INTERLOOP,FAISALABAD,PUNJAB,37660,Pakistan,S ASIA,8035,6378,5.00%,0.00%
IRUNA COMUNICACION TEXTIL - SERISUR,FINISHED GOODS,APPAREL,NIKE,IRUNA,CHAUCHINA-GRANADA,ANDALUCÍA,18330,Spain,EMEA,14,10,57.00%,0.00%
ITW SPORTS BRANDING ENPING,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,ITW GRAPHICS ASIA,ENPING,GUANGDONG,,China,N ASIA,164,135,64.00%,0.00%
JADE APPAREL INDUSTRIES,FINISHED GOODS,APPAREL,NIKE,YESIM,ALEXANDRIA / BORG EL ARAB,AI ISKANDARIYAH,21933,Egypt,EMEA,577,391,26.00%,2.60%
